id,contributors,day,score,temperature_deviation,temperature_trend_deviation,timestamp
0cdacee6-7f33-4223-a7c2-a426b97862bb,"{'activity_balance': 97, 'body_temperature': 99, 'hrv_balance': 91, 'previous_day_activity': 87, 'previous_night': 55, 'recovery_index': 100, 'resting_heart_rate': 75, 'sleep_balance': 79}",12/22/2023,83,-0.16,-0.04,2023-12-22T00:00:00+00:00
ffeabae2-80a8-4f3f-81a9-e6ac9dfa549f,"{'activity_balance': 84, 'body_temperature': 100, 'hrv_balance': 86, 'previous_day_activity': 82, 'previous_night': 58, 'recovery_index': 100, 'resting_heart_rate': 59, 'sleep_balance': 77}",12/23/2023,78,-0.03,-0.02,2023-12-23T00:00:00+00:00
53e35ec4-e930-41c4-a69e-223090379bfe,"{'activity_balance': 92, 'body_temperature': 100, 'hrv_balance': 69, 'previous_day_activity': 91, 'previous_night': 61, 'recovery_index': 77, 'resting_heart_rate': 68, 'sleep_balance': 70}",12/24/2023,75,-0.01,-0.06,2023-12-24T00:00:00+00:00
d00e1115-9431-4153-a16f-423195d64c1e,"{'activity_balance': 90, 'body_temperature': 96, 'hrv_balance': 77, 'previous_day_activity': 74, 'previous_night': 80, 'recovery_index': 100, 'resting_heart_rate': 100, 'sleep_balance': 78}",12/25/2023,86,-0.26,-0.15,2023-12-25T00:00:00+00:00
3d6f775e-eb56-4c41-a96e-2576ec9f157f,"{'activity_balance': 94, 'body_temperature': 100, 'hrv_balance': 46, 'previous_day_activity': 85, 'previous_night': 77, 'recovery_index': 100, 'resting_heart_rate': 94, 'sleep_balance': 69}",12/26/2023,80,-0.16,-0.06,2023-12-26T00:00:00+00:00
93361e8f-db59-442e-8885-83663f290c36,"{'activity_balance': 94, 'body_temperature': 99, 'hrv_balance': 47, 'previous_day_activity': 78, 'previous_night': 61, 'recovery_index': 97, 'resting_heart_rate': 94, 'sleep_balance': 67}",12/27/2023,76,-0.17,-0.11,2023-12-27T00:00:00+00:00
17808c0d-94a0-4a50-b86a-a05608354a1b,"{'activity_balance': 99, 'body_temperature': 100, 'hrv_balance': 57, 'previous_day_activity': 84, 'previous_night': 76, 'recovery_index': 100, 'resting_heart_rate': 100, 'sleep_balance': 79}",12/28/2023,84,-0.13,-0.17,2023-12-28T00:00:00+00:00
498f9e30-be50-4083-8529-e3589b975695,"{'activity_balance': 96, 'body_temperature': 100, 'hrv_balance': 55, 'previous_day_activity': 82, 'previous_night': 76, 'recovery_index': 100, 'resting_heart_rate': 100, 'sleep_balance': 77}",12/29/2023,83,-0.09,-0.12,2023-12-29T00:00:00+00:00
25a02ccc-2648-4908-82eb-8d94729b1950,"{'activity_balance': 99, 'body_temperature': 100, 'hrv_balance': 76, 'previous_day_activity': 85, 'previous_night': 74, 'recovery_index': 77, 'resting_heart_rate': 100, 'sleep_balance': 79}",12/30/2023,85,0.05,-0.06,2023-12-29T19:00:00-05:00
e3a55b6d-d669-4c2f-9299-61a7d6b50496,"{'activity_balance': 96, 'body_temperature': 100, 'hrv_balance': 73, 'previous_day_activity': 80, 'previous_night': 71, 'recovery_index': 100, 'resting_heart_rate': 92, 'sleep_balance': 85}",12/31/2023,85,0.05,-0.03,2023-12-31T00:00:00+00:00
